variant,n_seeds,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,20,20.5,1034.45,45.0,44.45,98.778,96.266,98.646,0.6,250.0,34.55,76.779,69.218,4.15,111.2,434.05,509.95,123.75,7.15,5.25,0.05,153.65,81.6,6391.5,37885.03,444.137,857.275,546.67
A1-NOCLUS,20,20.5,952.0,45.0,44.55,99.0,96.257,98.357,0.7,250.0,34.2,76.0,70.128,4.7,108.8,501.7,443.65,100.0,7.05,5.65,0.1,228.25,118.55,5661.3,34959.75,446.306,848.495,512.095
A2-GREEDY,20,20.5,819.9,45.0,44.7,99.333,96.433,98.613,0.85,250.0,33.55,74.556,74.205,3.4,129.9,594.75,416.2,171.25,7.3,6.95,0.1,186.25,74.45,5467.0,30045.325,426.408,776.195,406.89
A3-NODIV,20,20.5,967.15,45.0,44.55,99.0,95.272,98.491,0.75,250.0,33.2,73.778,69.298,5.75,133.2,591.9,432.3,156.25,8.5,6.55,0.15,146.35,72.25,6151.3,36505.015,367.948,723.699,412.66
A4-NOL2,20,20.5,912.4,45.0,44.65,99.222,95.276,98.059,0.8,250.0,33.65,74.777,68.678,4.75,126.25,612.2,487.4,147.5,6.05,4.65,0.1,130.55,49.85,5858.9,35670.24,369.234,762.009,407.805
A5-NORESC,20,20.5,994.05,45.0,44.45,98.778,96.49,98.746,0.7,250.0,35.05,77.89,68.995,4.25,111.75,543.75,507.45,123.75,7.3,5.65,0.4,183.4,69.6,6216.05,37099.165,422.414,846.973,479.53
B1-NOCONG,20,20.5,919.25,45.0,44.4,98.667,96.4,97.208,0.65,250.0,35.35,78.556,73.829,4.05,108.9,393.9,388.65,117.5,9.7,6.6,0.15,145.1,73.05,3939.95,40209.945,478.155,870.215,559.43
B2-NOCAP,20,20.5,1045.1,45.0,44.55,99.0,96.857,98.505,0.75,250.0,34.4,76.445,69.487,4.15,107.75,669.85,513.7,123.75,7.3,5.1,0.1,129.7,51.9,6606.55,39129.545,426.245,847.169,501.515
B3-NOMF,20,20.5,934.6,45.0,44.65,99.222,95.782,99.188,0.8,250.0,34.3,76.224,69.666,4.15,110.75,634.4,488.65,121.25,6.5,4.9,0.15,106.2,46.95,5968.35,36384.595,386.166,773.906,418.015
A6-NOSWEEP,20,20.5,966.35,45.0,44.4,98.667,95.463,97.913,0.6,250.0,34.3,76.223,69.171,4.15,111.2,365.95,459.85,123.75,7.2,4.85,0.25,221.95,94.4,6038.2,35486.165,376.083,702.299,439.42
B5-NOTRAV,20,20.5,925.8,45.0,44.8,99.556,96.535,98.483,0.95,250.0,35.05,77.888,69.228,4.4,103.25,850.75,514.95,121.25,5.65,4.7,0.2,207.15,89.75,6383.25,38169.21,380.494,795.55,381.61
B6-NOSUB,20,20.5,1058.75,45.0,44.6,99.112,97.596,98.783,0.75,250.0,33.9,75.333,71.944,4.5,112.75,683.5,492.5,120.0,7.3,5.25,0.1,237.4,103.0,6047.15,39403.005,473.578,966.551,558.85
B7-NOGAME,20,20.5,893.4,45.0,44.7,99.334,95.885,99.37,0.75,250.0,36.35,80.778,68.974,4.9,97.55,518.15,486.2,91.25,4.2,2.25,0.05,79.05,20.0,6002.6,36990.68,421.721,837.741,482.37
X-NEITHER,20,20.5,748.5,45.0,44.65,99.222,94.996,98.295,0.8,250.0,30.95,68.778,71.455,4.85,177.35,448.3,347.3,220.0,3.4,3.1,0.1,28.7,8.0,5349.65,27616.595,462.807,855.482,482.975
